pid,tariffs_part_words,human_tariff_position,human_tariff_reasoning
AC0B2FC9F3FE4AE9879FBCD510529368,I think its an interesting idea and could help push manufactures build factories in America which could lead to more jobs. In some cases yes consumers would have to bear increased cost but if companies build factories in America so that products are made here then companies could bypass these tariffs. I believe overall this could help improve the economy and it has an America first mentalliy that has been forgotten. People in america need more jobs. Only scenarios i can think oof where tariffs might not be the best is for things that arent able to be produced or grown in America like exotic fruit which would cause prices to increase.,Support,"Job Creation, Domestic Industry Protection, Price Increase Concern, Nationalism and Economic Independence, Economic Impact"
E94A66C6A7914F128168AE1A7A6D14B0,"This goes two ways. Why I may support the increase in tariffs and fees of imported products to encourage local production of goods, as a way to protect American jobs and help level the playing field for domestic producers thereby pushing Americans to buy American-made products, it could also have a negative impact on the prices of goods and services pending time the domestic production comes to play. An increase in tariffs and fees of imported products will defintely lead to an increase in the prices of imported products there by forcing consumers to source for cheaper alternative. If there is a domestic production for the said product, it will ultimately increase in demand which will also lead to an increased production by the domestic producer. This is expected to increase Job Creation in America as this move will lead to the establishment and development of many industries in America as the demands for domestic products have risen. More industry development equals more job roles openings. Since the goods will be produced internally, the possibility for a decrease in the cost of foods and products is expected, leaving the average American with more money thereby increasing their purchasing power.",Neutral,"Domestic Industry Protection, Job Creation, Price Increase Concern"
76A6A31DA16F423A8B9D9D63791511B2,"I think it's dumb and will lead to more inflation I am open to hearing other arguments but I fail to see how consumers won't be stuck with the bill here. It's not as if the US can suddenly manufacture everything it needs, so the things from overseas will still be bought, people will just have to pay more for them, worsening inflation and the cost of living crisis I think it's possible to reshore some things but not all--you can't make an iphone as cheaply as it is now in the US vs China, and they are already really pricey. Some jobs might be saved but we already went through this tariff stuff before adn its' not like jobs all came back Trump tried this in his first term--if it had worked then all these jobs would already be here and there wouldn't be a need to import things anyway, right? Some sectors might certainly benefit but the average american will pay more for many goods",Oppose,"Price Increase Concern, Economic Impact, Job Creation"
3183EA1AC35E42A9BB3EADF09AF3F1DA,"Tariffs typically raise the cost of imported goods, increasing expenses for consumers and businesses and contributing to inflation. They can also prompt other countries to impose retaliatory tariffs, hurting U.S. exports and damaging trade relationships.",Oppose,"Price Increase Concern, Economic Impact, Retaliation and Trade Wars"
467535A5E255478A97460136960AE30C,"Who is paying the tariffs? It is the consumer in the end. Plus, there might retaliatory tariffs",Oppose,"Price Increase Concern, Retaliation and Trade Wars"
748FE2551ED942D4BA46891A52981FB5,The cost will get passed on to the consumer and prices will rise.,Oppose,Price Increase Concern
2B3943EC166B4B9FACB9395A2CB44137,I think its a bad idea The tariff costs will just be passed onto the consumer that is how tariffs have worked in the past the tarrifs on China in the past 10 years increased costs of goods,Oppose,Price Increase Concern
BF49E6D1FF984FA08353DAA116252E24,"Businesses in America already try to price gouge for low quality goods, I can see them charging the American people a ridiculous amount of money for good or lowering the quality of the goods they provide (will most likely lower the quality and raise the price)",Oppose,Price Increase Concern
2B0AA702E1874A57BCEFD5BD3F874774,"I think it will drive our prices up Especially living in california, we get a lot of our goods from Mexico. If the tariff is increasing, all of our prices for things here are going to increase. Negatives",Oppose,Price Increase Concern
40D9093DEF654A2BAB0F478B4D929E28,I’m ok with this. We need to give USA products an advantage. Prices could increase Yes. It’s an investment in our country.,Support,"Domestic Industry Protection, Price Increase Concern"
E9C554921A30473FABBA12ACC64EA139,The cost of products will increase to consumers. Tariffs raise price impacts the costs towards the consumers. The electronics industry. I have seen price increase affected by tariffs.,Oppose,Price Increase Concern
75EC7F595C7C49CAA74840B4B441AFEC,"Very bad Tariffs are nothing more than increased taxes for Americans. They result in more financial burden for Americans. The prices of those imported and tariffed goods will necessarily have to go up. Many imported goods are not luxuries, but fruits and vegetables and parts necessary for many businesses. They also piss off our allies and trading partners. My son-in-law works for a large company that imports a lot of steel and the steel tariffs on Chinese steel have hurt the bottom line significantly.",Oppose,"Price Increase Concern, Retaliation and Trade Wars, Equity and Fairness"
537776C895BB446496FFEFD6C43EED1E,"Seems stupid because the manufacturing base in the US has been offshored and is relatively nonexistent. The US largely makes chicken products and beer so buying anything else will cause economic hardship to varying degrees. If I have to pay 100% tariff on a new electronic item that's made in China, that hurts me. I am very low income from living in this country. I can barely afford to live as it is. I've looked for pro-tariff arguments and have found nothing remotely convincing, so I am firm in my view.",Oppose,"Price Increase Concern, Economic Impact, Equity and Fairness"
BC7635B522B341369D685F7D5225BA5F,I think is a foolish idea touted by an incompetent boob. I think is a foolish idea touted by an incompetent boob.,Oppose,No Reasoning
D033CE056825486F978F8F9AA8414D6F,"I don't understand this issue to a great extent so my view is being developed. An argument against it is that it is that the tariff is being paid by American companies and passed on to American consumers. Also, other countries might retaliate by taxing our goods. A view for it is that by making foreign goods more expensive make American products more competitive in our market. My news sources are a regional newspaper, the Press Democrat which I think is tied in with the New York Time and various television shows. I am a Democrat and generally support the Party's views. From what I am understanding the Democrats are against the higher tariffs, although Biden kept much of what Trump established in that regard. I find economic policies difficult to evaluate in advance and usually support what has been shown to work. I am only assuming that he thought they were working. But if an increase is being considered, I think that we should be careful about doing that. How other countries react to that could cause negative results.",Neutral,"Price Increase Concern, Retaliation and Trade Wars, Lack of Understanding/Indecision"
E703C2685909438587D24B2366310309,Tariffs should be used only as a trade policy of last resort to discourage unfair trade practices or schemes devised by hostile foreign governments. I'm skeptical of supporting Chinese production as currently constituted.,Oppose,"Political and Strategic Considerations, Nationalism and Economic Independence"
6EC5CEEA8DE8408B97C28968E93A97D7,because it would give other countries higher ground,Oppose,Retaliation and Trade Wars
383DDA728FF34144ABF042A6BF5DC0EE,"Tariffs are paid BY US, and even if they weren't, those costs would be passed along to the buyer. The point of tariffs on goods produced overseas is to encourage people to buy locally made products. However, the overwhelming majority of things we buy from overseas (electronics, clothing, even cars) are not produced in the US, or are not produced on a similar scale. Therefore the prices of items will increase with no alternative. It's a horrible idea.",Oppose,"Price Increase Concern, Domestic Industry Protection"
F33517F8B2604E1C94480F53EA59C1EC,because companies will just pass off these costs to the customer.,Oppose,Price Increase Concern
DB18494B5874464A9F322CEF10B6C599,it could be good,Support,No Reasoning
9FE3D3BA01384E759B55C3B6DFFA3AC0,It will encourage more companies to consider making their products in the USA,Support,"Domestic Industry Protection, Job Creation"
9E996302D5244260878FDB74CBB316F4,could lead to those countries also imposing tariffs and then an economic collapse will happen,Oppose,"Retaliation and Trade Wars, Economic Impact"
074319D7838A4620AC283635EBA30D3C,"That is good It will encourage manufacturing to return to the usa When it becomes cheaper and easier and necessary to make good in the us again, business will begin doing do. Yes, it will raise prices and shortages will occur. These are growing pains.",Support,"Domestic Industry Protection, Price Increase Concern"
9D40255EAA334DDF8FC6F6107872323D,Very bad Very bad,Oppose,No Reasoning
2671A3FEF6184A1188018B86AEADDF8E,I don't know enough about the impacts of this to have an opinion.,Neutral,Lack of Understanding/Indecision
AFB6C88ED57E42DE893D70C90386A83F,"there's no reason to increase prices on anything, except for greed.",Oppose,Price Increase Concern
1A34FA8D1D1947E7B5F62D1717AE2C24,"I don't really care either way. I am at a point where I know things aren't going to get better for the average American. Our political leaders will only do what benefits them, makes them or their allies more wealthy. People like me have no voice in politics, we are not listened to. I am not smart enough to understand tariffs, I am not an economist, but I know that leaders will do whatever they want. It's not up to me how much things cost or if tariffs are enforced? So why should I have an opinion about it? I am powerless in this regard.",Neutral,Lack of Understanding/Indecision
E0DAFB61AAF048FAAE3AED2DB7B65A20,"I think it will be good in teh long term by bringing jobs back to the US. US companies will stop looking overseas to buy products and manufacture them. Yes, it will affect costs immediately, but over the long run it will bring more jobs back and stabilize prices. Last time TRump was president, I noticed a change quickly. Within a year or two I saw many more products being made in the US.",Support,"Job Creation, Domestic Industry Protection, Price Increase Concern"
534B5AB2A3B94C5D9C1BF817BB7E602B,No real reason. I'm not sure what it would accomplish.,Neutral,Lack of Understanding/Indecision
5C073E2E1A724D02B3B771E781D06DE6,We have been paying out way too long. Its time we start standing up for the economy of America.,Support,Nationalism and Economic Independence
5D52506730AA491CA6B3C0C41E95D881,Neither good nor bad I don't know much about how they affect things. I don't know much about how they affect things.,Neutral,Lack of Understanding/Indecision
9AC12790718A444B85754A67500EB2D9,Very bad Because companies will pass the cost of the tarriffs onto consumers. Purely negative. My opinion will not be changed.,Oppose,Price Increase Concern
CA8B8E3ED1E84C7BAA9A1D92BEA68828,I'm against it as it passes the cost on the Americans. It will act as a tax and raise the prices Americans pay. People voted for Trump for costs and inflation to go down but this will greatly increase costs The biggest impact may be on food and grocery bills which will hit everyone hard. Electronics and appliances will also be brutal It is already influencing the job market as corporations are preparing by laying off employees. China is already refusing to sell us materials needed for our new computer chip manufacturing plants,Oppose,"Price Increase Concern, Economic Impact, Retaliation and Trade Wars"
5FA8CD03C938437EA3E2AD01A3F29BBE,I think it could be helpful in the long run. It will bring more business to US companies.,Support,Domestic Industry Protection
1BF219FD16654D2984BCAD607B5A595C,"Somewhat bad I just worry about these countries that are getting heavily taxed to charge more products that are coming in. Its a way to get back at us for increasing tax rates increased taxes mean more funds for roads, education or any other governmental entities",Oppose,Retaliation and Trade Wars
307B92D4FA74482A9D5DA0E3E4C29897,"I do not agree with increasing tariffs or fees on goods imported from trading partners. From my current understanding there are already some tariffs in place and they are working as they should. Increasing tariffs will cause some strife with trading partners and it will cause the price of imported goods to increase. Because of Trump's proposed tariffs and fees, China has started to decrease the export of raw materials to the United States (I believe these materials are needed in the manufacture of technology products). I remember reading that the Mexican president has already provided some response or retaliation to Trump's proposed tariffs. Trade could very well decrease. Elevated fees will be passed down to the consumer who will pay more for technology like smart phones and computers. As a result, consumer spending may decrease because consumers don't want to pay higher costs. If consumer product prices increase, I will wait longer to replace technology. As mentioned previously, China has already mentioned decreasing the export of raw materials to the United States, and this will have a negative impact on domestic manufacturers.",Oppose,"Price Increase Concern, Retaliation and Trade Wars, Economic Impact"
E59DD75F52E741F4AF02E25A7C2AA8B8,"Increasing tariffs or fees on goods imported to the United States can be a double-edged sword. On one hand, it can protect domestic industries by making foreign goods more expensive, which could encourage consumers to buy American-made products and support local jobs. It can also be used as a negotiating tool in trade deals to secure better terms for U.S. companies. Increasing tariffs or fees on imported goods could lead to higher consumer prices, especially for everyday products, which would disproportionately impact lower-income households. It could also disrupt supply chains, raise production costs for U.S. businesses, and reduce their global competitiveness. Moreover, retaliatory tariffs from other countries could hurt U.S. exports, potentially leading to job losses in export-dependent industries and slowing overall economic growth. I tend to lean against broad increases in tariffs because they can lead to higher consumer prices and disrupt global supply chains, which harms both consumers and businesses. While protecting domestic industries can be important, I believe the risks—like retaliatory tariffs and economic slowdown—outweigh the potential benefits. However, I do see value in targeted tariffs when addressing unfair trade practices or protecting critical industries, as long as they're part of a strategic, well-thought-out approach.",Neutral,"Price Increase Concern, Economic Impact, Domestic Industry Protection, Retaliation and Trade Wars, Job Creation, Political and Strategic Considerations, Equity and Fairness"
028687F82CEF4E15B1B596ED0A8BD7A1,Very bad Anyone who has an education in civics knows that tariffs are placed on the end consumer. Most people voted on the economy without doing their homework on what that will look like. The new administration will cause the economy to tank and the middle class to suffer the consequences.,Oppose,"Price Increase Concern, Economic Impact, Equity and Fairness"
8B61C758D3E14957BD22BC6B6EB9E98D,I think it will be passed on to US consumers and make things more expensive Each manufacturer in those affected country will increase your goods to pay for the tariffs and the customer will eventually get to pay for it have conversation that is beneficial to all,Oppose,Price Increase Concern
E74DE0C0CA8E4137B68B73C556466ADD,"I don't feel incredibly informed on the topic, but I feel like raising prices on goods we get from other countries would hurt the medium and smaller businesses, while larger business could deal with the price increase. I understand the idea is to promote more American based businesses and goods, but for some businesses, that is not always feasible. I think the smaller and medium sized business are more likely to feel the increase in prices as they usually don't have the same profit margins that larger businesses do. A larger business can just pay the extra increase or switch to domestic factories while still earning profits (generally) but smaller and medium businesses would have a much higher risk if they needed to make a big change like that. I think most businesses would pass the cost on to consumers and increase the prices of their products to make up for the extra expense. But again, bigger business are more likely to have a larger buffer and may not have to do this, again hurting smaller and medium businesses. No, I don't see how it would benefit anyone enough to make up for the negatives. No, we can move on",Oppose,"Price Increase Concern, Economic Impact, Lack of Understanding/Indecision, Equity and Fairness"
4AAF52BB2CBF4D8D920F4B4DA79C4A84,Because increasing tariffs would just make things worse for the lower class citizens.,Oppose,Equity and Fairness
0C8DAAF0BDE74D6482EC557F33586F18,agree people are sending poined prodicts to the us sending products from china that have lead and things in them a special inspection department to look at health factors of imported items 7,Support,"Domestic Industry Protection, Political and Strategic Considerations"
E45ABBEAF07F48CC97F984DFE2754311,"Very good This is good because it would encourage buying from locally made producers and it would in turn boost the economy. To my knowledge, there are no specific down sides.",Support,"Domestic Industry Protection,  Economic Impact"
4122B9F4F37D4F78A5304E9B2EA5702C,no idea,Neutral,Lack of Understanding/Indecision
3D7D72CEA1F6413D961CE185176CE502,"I think they should be kept the same We don't want to alienate allies and reduce the amount of trade, but we also want to protect US workers/businesses. I want it kept the same so the balance of US productivity is achieved while also ensuring we get access to global products Tariffs can encourage or discourage trade with other countries Regulate tariff rates and constantly re-evaluate them to ensure they are working.",Neutral,"Domestic Industry Protection, Retaliation and Trade Wars, Economic Impact, Political and Strategic Considerations"
BDF5F6793AFC457EAE8183612E092D17,"Somewhat bad I don't think we need to increase fees for anyone at this point. We need to work together as much as possible. I think that it helps to show the willingness to work together and thus mitigate competitive attitudes. Yes I would be open, however I don't think it would shape my opinion much because I feel that we have larger problems to concerned with. Also I mentioned that it would only be ""slightly"" bad so I don't have a strong opinion either way.",Neutral,"Retaliation and Trade Wars, Lack of Understanding/Indecision, Political and Strategic Considerations"
A2F7231D9B144A95B50B1C95CD29FFE1,"it is a very dumb idea it would raise the price of goods for us making me pay for the tariff i already dont have money, why would i want to have less money it is just logical, the rich are greedy and don't want to pay for the tariff so they will pass the cost down to the consumer.",Oppose,"Price Increase Concern, Equity and Fairness"
014AF5C1D40E4A93A8E753C54C786C25,"yes, this can harm businesses it will raise cost of imported goods, which may lead to higher prices for consumers. When tariff was raised i bought electronics at expensive prices they can help to promote local production.",Oppose,"Price Increase Concern, Domestic Industry Protection"
3221EA13F4B84D2FB89B884B794133AB,This would discourage importing and encourage manufacturing more.,Support,Domestic Industry Protection
22FAC0E0CC91445AA1AF52DA0E314687,I don't have a preference.,Neutral,Lack of Understanding/Indecision
46C36D77E4B247AE95721BC9779FE422,Very bad I think tariffs are bad because they will just raise the prices of goods for Americans. I don't believe that the upside of tariffs will balance out the increase in price. Tariffs will only hurt Americans.,Oppose,Price Increase Concern
A0AF40BE5A6445B58B94C637229FFFB8,"I think it is a good negotiating tactic to use to get what we want from other countries, but I believe it will be inflationary. It can be used as a negotiating tactic because many of our trading partners depend on us buying their goods. If tariffs are high on their products, our consumers will not buy them. So those partners can agree to issues our government brings up to keep their goods coming to us. It could lead to inflation because either the prices of those imported good will go up because of tariffs, or consumers will have to buy products made here, with generally higher labor costs, leading to higher prices. Yes, I think the potential gains from the negotiation outweigh the inflationary impact because I think those other countries need us to buy their goods more than we need to buy from them. I strongly believe that.",Support,"Political and Strategic Considerations, Price Increase Concern"
2A3B5197D0414521B1BFF93DB4966950,tarriff will increase the living cost,Oppose,Price Increase Concern
AE03BD921BA04B678DB67AD8AB70F41C,Somewhat bad Things will get expensive. I think all industries will be affected. I think it will outweigh any possible benefits. I would not support any type of tarrifs.,Oppose,"Price Increase Concern, Economic Impact"
CA24C64A381340B9A517C198AD241F5A,Well I say we need the money.,Support,Economic Impact
5FF888CC8DF64030A242B91BCBB094B2,"Somewhat bad it could lead to higher prices for goods depending on the goods, it could be significant for the average American. I like the idea of protecting domestic industries, but not if it increases the cost of goods substantially",Oppose,"Price Increase Concern, Domestic Industry Protection"
9B1D819C36344D3F93926468412F9032,"I think increasing to a moderate amount is reasonable I guess too much import could undermine economy in the US and decrease job opportunities. Sometimes it is also hard to guarantee quality of imports. So I guess raising tariff a little could boost economy and ensure safety of products I guess if people use more of the imported products they use less of the ones made in the USA. And similarly if products are imported from abroad, it reduced the production of the same product here which then lead to decreased jobs. I definitely think raising tariff too high is not good because people would be unable to afford things and product availability could decrease.",Neutral,"Domestic Industry Protection, Job Creation, Price Increase Concern"
6A97FE7E9A0241C08828E4829A1083A6,It is what I believe,Neutral,No Reasoning
9C8064431E6F40B7A228D800BCB7690E,The increase will ensure that the other countries follow the agreed demands to ensure that quality of the product is met.,Support,Political and Strategic Considerations
21C9CCA31AAC4871AF17A99AF86F6B8B,Because some jobs would come back to the US.,Support,Job Creation
3F4F2AF9A4B640B78DEA8846F2249BAD,Because it will be higher costs,Oppose,Price Increase Concern
2A1981939AC645E9A366B1632F22F230,Neither good nor bad Good or bad both None,Neutral,Lack of Understanding/Indecision
28F869D60F8A42C8A5B4C6B340B82888,"Importers who pay the tariff will pass the tariff cost onto the consumer, resulting in higher prices. Countries on which the tariffs are placed could respond in kind, causing American businesses to suffer due to lower exports.",Oppose,"Price Increase Concern, Retaliation and Trade Wars"
470B1E0E71A3465181D73DDA83E66D55,Sometimes increasing tariffs is a good thing. But other times it can be a bad thing. I don't agree on increasing tariffs across the board. But if used for certain countries for specific things I think is a good thing.,Neutral,Political and Strategic Considerations
6301BDF536B749699E35C748DB6421FD,It will drive up cost for a lot of products for us Americans.,Oppose,Price Increase Concern
298492F3E6744C6980BC968833308FFE,"Somewhat bad If tariffs are imposed our prices of food, electronics will go up. I really don't see many benefits. Electronic stores will be affected.",Oppose,Price Increase Concern
0F73C9F8B1794DAF9CFE2A7BF051203E,"Somewhat bad Because the countries we have imposed increased tariffs on will retaliate in some kind of way that will affect us negatively. I'm envisioning war, increased tariffs on us, withholding goods and services causing our goods and services costs to skyrocket. I don't see how that is true. Could you expand on that thought?",Oppose,"Retaliation and Trade Wars, Price Increase Concern"
356161C898E34DD7B304A3F33649C63F,I think it will protect domestic industries and have a higher cost for consumers it will make imported goods way more expensive and electronics will increase in price i see mostly negative increased in clothing as well.,Neutral,"Price Increase Concern, Domestic Industry Protection"
57A27069E69D42AFB2DEE34D5445529B,I don't necessarily agree on that I think that would lessen the relationships with them Yes,Oppose,Retaliation and Trade Wars
2154AB20CA94485CB82AFE0F6EB589F6,fair no answer no answer,Neutral,Lack of Understanding/Indecision
AD960004FD5148AC88BCA19D47C7C11B,"Bad Because it's going to lead to more inflation than we have now, it will cause countries like China to increase prices to cover the tax of the tariffs. Everything will cost more sending our currency to collapse, and people won't be able to affords things. No, my opinion is extremely firmly held on this.",Oppose,"Price Increase Concern, Economic Impact"
C389F7D0701E4E23A56A60153E7765CA,this will increase prices for the average american and also deteriorate relationships with trade partners.,Oppose,"Price Increase Concern, Retaliation and Trade Wars"
168E08BE269E4A4B950DD0E7CE7395C9,yes if companies are profiting from the US economy first The price will probably go up a bit which the government should be able to put limits to how much those companies raise the prices. also I do not think those companies have a choice the US is the biggest consumer in the world.,Neutral,"Price Increase Concern, Domestic Industry Protection"
D8AE261B39BD41C6A44533B824C239E9,"Neither good nor bad You’ve summarized a balanced perspective well. Tariffs can indeed help shield domestic industries and encourage self-reliance, but they can also lead to higher consumer prices and strained trade relations. The ultimate impact hinges on factors like the economic sectors affected, trade partners’ responses, and the overall goals of the policy. This balance of pros and cons is why a neutral stance might feel appropriate for such a multifaceted issue. Support for tariffs might grow if they clearly protect key industries, create jobs, or enhance national security without harming consumers. Opposition could strengthen if tariffs significantly raise prices, provoke trade retaliation, or damage international relations. Industries like steel have benefited from tariffs through increased domestic demand, while sectors like automotive and construction have faced higher costs, leading to price increases for consumers. However, the overall economic impact of tariffs includes inflation and global supply chain disruptions, with some industries better adapting than others.",Neutral,"Price Increase Concern, Economic Impact, Domestic Industry Protection, Retaliation and Trade Wars, Job Creation"
06AE574248264B7892CA3247391EE611,Bad I believe increasing tariffs is bad because companies will just pass costs off onto the consumer in the end. If there was some sort of forced way to ensure that countries had to actually foot the bill then I would be for it. There would have to be some sort of audit to ensure that countries aren't adding additional taxes to businesses in light of the tariffs. There would have to be some sort of check in place to make sure companies aren't raising prices on consumers due to a hidden tax as well.,Oppose,Price Increase Concern
3E9A4A2D381C45359172DE1BB0811084,"From what I've learned about tariffs, it seems it would just make prices go up for consumers in the US and that wouldn't be a good thing. It would make everyday life tougher for those that are already struggling to make ends meet. As far as protecting local industries from foreign competition, I'm not sure that I agree with that.",Oppose,"Price Increase Concern, Equity and Fairness, Domestic Industry Protection"
9542EAD3CA434146BEE2D324017222DB,"It will increase the prices here. There need to just start open manufactured companies back in the USA. The overall cost would be less expensive to make it here, but the corporation will find a way to jack up the prices, so Americans are screwed either way. no.",Oppose,"Price Increase Concern, Domestic Industry Protection"
DBB84AEC03ED4E18A11B228D33442C40,Raising tariffs on goods that can be produced here helps American workers.,Support,"Domestic Industry Protection, Job Creation"
2EEC5CB70ADE444E9C9E3EB146119DD4,Prices will likely go up Just my thoughts Not support tariffs,Oppose,Price Increase Concern
621FACE0B21A425DB58B0E4A371E80FB,"I don't think tariffs are a good idea because it will raise prices in the US That seems to be what will happen. According to the data that has been given, and past history. No. That is my opinion",Oppose,Price Increase Concern
BAAC0CCE6B4D47CE844F96F763BCAF48,a tarriff increase is not what this country needs. prices are too high as it is. high prices are placing a serious strain on families that simply cannot be sustained a family of 4 with only one income spends 300 a week on groceries already and barely have anything to show for it. tarriffs are always passed on to the consumer so those same groceries will cost that same family an additional 50 or 100 more which will mean the family will have to cut costs elsewhere like medicine or repairs in order to just be able to keep themselves fed yes i do,Oppose,"Price Increase Concern, Equity and Fairness"
38D67A1E5B424E74B8195E66C4B941E9,"Bad If we're talking about what Trump is proposing, that'll just be awful it seems like. Companies are already raising their prices for no reason, and with super high tariffs they'll just pass that along to consumers who basically have no other choices. Global trade relationships will suffer if the tariffs are insane, and honestly I'm not sure how the domestic job market would suffer, I don't have much knowledge in that area. My guess is that we'd be hit with retaliatory tariffs, which would reduce our exports. That reduction in exports would lead to a reduction in US production and then job loss.",Oppose,"Price Increase Concern, Economic Impact, Retaliation and Trade Wars, Lack of Understanding/Indecision, Job Creation"
6295F52CC5254BD09287AB7AB80B8A9D,I do Not agree with it!! If the tariffs get increased then the price to the American consumer will too!! This leads to inflation!! Inflation affects all Americans in one way or another!! Gas prices would go up as well as consumer goods!!,Oppose,Price Increase Concern
