caseid,commonweight,age,gender,ed,race_id,married,registered,pid_text,ideology,income,pol_interest,CC21_320a_t,CC21_320b_t,CC21_320c_t,CC21_320d_t,CC21_320e_t,CC21_321a_t,CC21_321b_t,CC21_321c_t,CC21_321d_t,CC21_321e_t,CC21_321f_t,CC21_322a_t,CC21_322b_t,CC21_322c_t,CC21_322d_t,CC21_322e_t,CC21_323a_t,CC21_323b_t,CC21_323c_t,CC21_323d_t,CC21_323e_t,CC21_323f_t,CC21_324a_t,CC21_324b_t,CC21_324c_t,CC21_324d_t,CC21_325a_t,CC21_325b_t,CC21_325c_t,CC21_325d_t
1633368217,0.359716404411793,67,Male,a 4-year college degree,White,married,registered,Independent,a moderate,"$100,000 to $119,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1634826167,0.59443542455839,36,Male,some college but no degree (yet),White,married,registered,Democrat,a moderate,"$100,000 to $119,999",hardly at all,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1634544643,2.37769736891192,38,Male,a 4-year college degree,White,married,registered,Republican,an extremely conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose
1634661985,0.603792018247078,74,Male,a high school diploma,White,married,registered,Republican,a moderate,"$20,000 to $29,999",most of the time,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1634838955,0.703962296823108,67,Female,some college but no degree (yet),White,married,registered,Democrat,a moderate,"$150,000 to $199,999",most of the time,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose
1635282235,0.710289831619128,35,Female,a 4-year college degree,Hispanic or Latino,married,registered,Independent,a slightly conservative,"$120,000 to $149,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Oppose
1635989947,0.609893638193761,65,Female,some college but no degree (yet),White,married,registered,Democrat,a liberal,"$30,000 to $39,999",some of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1636006275,0.896038066360208,54,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,a liberal,"$200,000 to $249,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Support
1636010971,0.611483691887599,70,Female,some college but no degree (yet),White,married,registered,Democrat,a liberal,"$60,000 to $69,999",most of the time,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1636887235,0.932631649412576,51,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,a liberal,"$120,000 to $149,999",most of the time,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1636900069,0.103974475426069,31,Non-binary,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",Native American,married,registered,Democrat,a slightly liberal,"$80,000 to $99,999",most of the time,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1636912357,2.21721623375312,69,Female,a high school diploma,White,married,registered,Republican,a conservative,"$30,000 to $39,999",hardly at all,Oppose,Oppose,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose
1636969023,0.951565999938381,48,Female,a 4-year college degree,White,married,registered,Republican,a conservative,"$80,000 to $99,999",most of the time,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1637187047,1.16312276255894,41,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a slightly liberal,"$150,000 to $199,999",only now and then,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1637650201,0.381896983795956,43,Female,a 4-year college degree,Asian or Asian-American,married,registered,Democrat,a moderate,"$80,000 to $99,999",most of the time,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose
1637136217,0.882394669180244,40,Female,a 4-year college degree,White,married,registered,Independent,a slightly liberal,"$150,000 to $199,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1637823943,1.26992808358981,36,Male,a 4-year college degree,White,married,registered,Democrat,a moderate,"$120,000 to $149,999",some of the time,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support
1638410251,0.797752187001366,64,Female,a 4-year college degree,Black or African-American,divorced,registered,Independent,a slightly conservative,"less than $10,000",some of the time,Support,Support,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support
1638472343,2.1927658645547,48,Male,some college but no degree (yet),White,married,unregistered,Independent,a moderate,"$60,000 to $69,999",only now and then,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1637954933,1.39213083867076,37,Male,a 4-year college degree,White,married,registered,Independent,an extremely conservative,"$150,000 to $199,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support
1638704467,0.270581057725183,35,Female,a high school diploma,White,married,registered,Independent,a slightly liberal,"$50,000 to $59,999",some of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support
1638780601,0.772833682994318,41,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",Asian or Asian-American,married,registered,Democrat,an extremely liberal,"$120,000 to $149,999",most of the time,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support
1638181005,1.07804892335456,62,Female,a 2-year college degree,White,married,registered,Republican,a slightly conservative,"$40,000 to $49,999",most of the time,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support
1639481875,0.886228738715667,63,Male,some college but no degree (yet),White,married,registered,Independent,a slightly conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Support
1639646395,0.59900245456741,76,Male,a high school diploma,White,married,registered,Republican,a conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose
1639960087,1.15850687361875,64,Male,a high school diploma,White,divorced,registered,Independent,a slightly conservative,"$20,000 to $29,999",most of the time,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Oppose
1640122837,0.609086476425343,40,Female,a 4-year college degree,Black or African-American,single,registered,Democrat,an extremely liberal,"$10,000 to $19,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1640104367,1.24764264684058,40,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",Black or African-American,married,registered,Democrat,a moderate,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1639089359,0.722454130977021,39,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",Asian or Asian-American,married,registered,Republican,a moderate,"$30,000 to $39,999",only now and then,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Support,Support
1640698663,2.0581456414348702,25,Female,a 4-year college degree,White,single,unregistered,Independent,a moderate,"$20,000 to $29,999",only now and then,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose
1641011539,0.849650587548669,54,Male,a high school diploma,White,married,registered,Republican,an extremely conservative,"$150,000 to $199,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1639880509,0.77990964379668,67,Female,a 2-year college degree,White,married,registered,Democrat,a moderate,"$80,000 to $99,999",some of the time,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose
1641132127,1.12086215860927,43,Male,a 4-year college degree,White,married,registered,Republican,an extremely conservative,"$500,000 or more",most of the time,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose
1641013601,0.876060155573398,76,Female,some college but no degree (yet),White,married,registered,Democrat,a moderate,"$100,000 to $119,999",some of the time,Support,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support
1641303931,1.07413919363064,41,Female,a 2-year college degree,White,divorced,registered,Independent,a moderate,"$70,000 to $79,999",most of the time,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support
1641704979,1.79654115191965,51,Male,a 2-year college degree,Hispanic or Latino,single,registered,Democrat,a moderate,"less than $10,000",some of the time,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support
1641875753,0.808946993507207,35,Male,a 4-year college degree,Asian or Asian-American,single,registered,Independent,a slightly conservative,"$40,000 to $49,999",most of the time,Support,Support,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose
1641946033,0.490016715686182,27,Female,a 4-year college degree,White,married,registered,Independent,a slightly liberal,"$70,000 to $79,999",some of the time,Support,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Support,Support,Support,Support,Support
1642016411,4.11469635073196,26,Male,some college but no degree (yet),White,married,registered,Republican,an extremely conservative,"$30,000 to $39,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1642345439,1.19031210015296,43,Male,a 2-year college degree,White,married,registered,Republican,a conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support
1642416059,0.666446129636735,68,Female,some college but no degree (yet),White,married,registered,Republican,a moderate,"$30,000 to $39,999",most of the time,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1643989851,0.666446129636735,95,Female,some college but no degree (yet),White,divorced,registered,Democrat,a slightly conservative,"$50,000 to $59,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1643989985,0.733474223093612,22,Female,a 4-year college degree,White,single,registered,Democrat,a liberal,"$40,000 to $49,999",some of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1644040013,0.61826218626253,42,Female,a 2-year college degree,White,married,registered,Republican,a conservative,"$30,000 to $39,999",only now and then,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Support
1644040017,0.944796443415507,69,Female,some college but no degree (yet),White,married,registered,Independent,a moderate,"$60,000 to $69,999",most of the time,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Support
1644040091,0.301218998223884,55,Female,a 2-year college degree,White,married,registered,Democrat,a slightly liberal,"$100,000 to $119,999",some of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Support
1644072159,0.757423328051872,87,Female,a 2-year college degree,White,divorced,registered,Democrat,a moderate,"$20,000 to $29,999",most of the time,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Oppose,Support
1644072175,0.68820280044671,62,Female,some college but no degree (yet),White,widowed,registered,Democrat,a moderate,"$50,000 to $59,999",only now and then,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1644072257,0.377743748211549,72,Male,a 2-year college degree,White,married,registered,Independent,a slightly conservative,"$80,000 to $99,999",some of the time,Support,Support,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Support
1644107137,0.351682749012425,65,Female,a 4-year college degree,Black or African-American,married,registered,Democrat,a liberal,"$120,000 to $149,999",only now and then,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1644107217,1.46945768411344,63,Female,a 4-year college degree,Black or African-American,divorced,unregistered,Independent,a slightly liberal,"$50,000 to $59,999",hardly at all,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1644107303,1.21415108257555,60,Female,a high school diploma,White,married,registered,Republican,a slightly conservative,"$40,000 to $49,999",hardly at all,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose
1644139085,0.195552637885673,60,Female,a 4-year college degree,Black or African-American,single,registered,Democrat,a liberal,"$30,000 to $39,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1644139275,1.9370720793563,61,Female,a 2-year college degree,White,divorced,registered,Independent,an extremely liberal,"$10,000 to $19,999",some of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Support
1644107925,2.18668192450195,41,Female,some college but no degree (yet),White,married,registered,Republican,a slightly conservative,"$80,000 to $99,999",most of the time,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support
1644190001,1.56038219082406,18,Female,a high school diploma,White,single,registered,Independent,a slightly liberal,"$70,000 to $79,999",some of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Oppose
1644193667,0.64977447629204,71,Female,a 2-year college degree,White,married,registered,Democrat,a slightly liberal,"$40,000 to $49,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support
1643277787,0.369535728942146,63,Female,some college but no degree (yet),Black or African-American,divorced,registered,Independent,a moderate,"$10,000 to $19,999",hardly at all,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Oppose
1643864443,1.80293090293464,54,Female,a 4-year college degree,White,married,registered,Independent,a conservative,"$70,000 to $79,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose
1644283169,0.73326241517085,43,Female,a high school diploma,White,married,registered,Republican,an extremely conservative,"$10,000 to $19,999",only now and then,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose
1644247329,4.31986648570422,38,Female,a 4-year college degree,White,married,unregistered,Democrat,a liberal,"$100,000 to $119,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1644419505,0.555936960344536,29,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,single,registered,Independent,a moderate,"$30,000 to $39,999",some of the time,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Support
